Nr.;CASC Scale
1;Заставляет ли эта реклама чувствовать себя счастливым?
2;Заставляет ли эта реклама задуматься о реальных различиях между брендом и его конкурентами?
3;Заставляет ли эта реклама чувствовать сексуальное возбуждение?
4;Заставляет ли эта реклама почувствовать страх?
5;Заставляет ли эта реклама задуматься о плюсах или минусах бренда?
6;Заставляет ли эта реклама почувствовать воодушевление?
7;Заставляет ли эта реклама почувствовать гнев?
8;Заставляет ли эта реклама задуматься о причинах использования или неиспользования бренда?
9;Заставляет ли эта реклама почувствовать отвращение?
10;Заставляет ли эта реклама почувствовать ощущение силы?
11;Заставляет ли эта реклама задуматься о фактах о бренде?
12;Заставляет ли эта реклама почувствовать зависть?
13;Заставляет ли эта реклама почувствовать чувство принадлежности?
14;Заставляет ли эта реклама почувствовать агрессию?
15;Заставляет ли эта реклама ощутить раздражение?
16;Заставляет ли эта реклама почувствовать гордость?
